633355,12844665787.590767 29683194369.85339 45567064995.09319 58932065185.99043 79885279752.60825,256893315.75181535 296831943.6985339 455670649.95093197 589320651.8599043 798852797.5260825
421031,18387783714.06751 124403307137.34319 340489213888.442 541650810337.73224 879645911557.6086,367755674.2813502 1244033071.373432 3404892138.8844204 5416508103.377322 8796459115.576086
300570,23284738257.39201 128029338026.92874 290068909753.7681 411557233978.5616 598038144797.9817,465694765.1478402 1280293380.2692873 2900689097.537681 4115572339.785616 5980381447.979817
165759,811261203.223302 4742067087.565408 12542628785.256285 20058466239.490974 31992066750.85595,16225224.06446604 47420670.87565408 125426287.85256284 200584662.39490974 319920667.5085595
592067,15707272625.178276 45152073330.344696 82151055751.20134 114801650337.15308 165174594051.4118,314145452.50356555 451520733.30344695 821510557.5120134 1148016503.3715308 1651745940.5141182
575944,8801196018.670504 33124676914.799816 66272302840.563515 97554487481.57744 146697651772.45056,176023920.37341008 331246769.14799815 662723028.4056351 975544874.8157744 1466976517.7245057
563151,64158904559.99925 158072143506.5729 228100799591.98874 275355089630.68286 349202153844.40674,1283178091.199985 1580721435.0657291 2281007995.9198875 2753550896.3068285 3492021538.4440675
564612,41604411233.89256 117692602223.6743 211251865455.89008 295286772828.7782 436627008051.67426,832088224.6778513 1176926022.236743 2112518654.5589008 2952867728.287782 4366270080.516743
188896,473093317.9978029 2853483229.7377014 7821366124.810253 12767638239.501368 20439142540.262024,9461866.359956058 28534832.297377016 78213661.24810253 127676382.39501368 204391425.40262026
579005,6470143436.68597 21763721669.112812 40473588697.52188 57013627359.57056 82164395735.48811,129402868.73371941 217637216.69112813 404735886.97521883 570136273.5957056 821643957.3548812
522430,32258386709.390926 62045452098.1751 82495874742.78741 96501181840.88335 117410853182.86552,645167734.1878185 620454520.9817511 824958747.4278742 965011818.4088335 1174108531.8286552
704442,2142698303.79892 8517963627.589547 19781136464.723083 30274032214.34754 46274858687.554405,42853966.0759784 85179636.27589548 197811364.64723083 302740322.1434754 462748586.8755441
367461,3540204980.1398735 11505029875.281954 21477478674.1796 29535300043.937183 40861093862.59791,70804099.60279748 115050298.75281954 214774786.74179602 295353000.4393718 408610938.62597907
625319,6098478816.633661 22378806492.336334 42022184011.21081 58124464697.05918 82637482026.24991,121969576.33267322 223788064.92336336 420221840.1121081 581244646.9705918 826374820.2624991
610997,43674546742.02585 90556114320.33302 114335103912.29381 130865269767.81932 157766397471.1308,873490934.840517 905561143.2033303 1143351039.1229382 1308652697.6781933 1577663974.711308
391088,95708810991.47961 168932719256.93704 184383445867.71902 194756029696.6952 227637391921.79266,1914176219.8295922 1689327192.5693705 1843834458.6771903 1947560296.9669518 2276373919.2179265
663125,5440457614.834342 18418965255.029156 32312708928.421387 42285086056.33802 56440242220.54877,108809152.29668684 184189652.55029157 323127089.2842139 422850860.56338024 564402422.2054877
