# wavelength [Angstrom] --- F erg/s/cm2/A  --- F*lambda erg/s/cm2 
1.035e+03 8.663e-13 8.966e-10 
1.036e+03 8.196e-13 8.492e-10 
1.037e+03 8.172e-13 8.475e-10 
1.038e+03 8.987e-13 9.33e-10 
1.039e+03 9.517e-13 9.89e-10 
1.04e+03 9.731e-13 1.012e-09 
1.041e+03 9.897e-13 1.031e-09 
1.042e+03 9.936e-13 1.036e-09 
1.043e+03 9.921e-13 1.035e-09 
1.044e+03 1.008e-12 1.053e-09 
1.045e+03 1.03e-12 1.077e-09 
1.046e+03 1.05e-12 1.099e-09 
1.048e+03 1.055e-12 1.105e-09 
1.049e+03 1.062e-12 1.113e-09 
1.05e+03 1.096e-12 1.15e-09 
1.051e+03 1.12e-12 1.177e-09 
1.052e+03 1.128e-12 1.187e-09 
1.053e+03 1.14e-12 1.2e-09 
1.054e+03 1.16e-12 1.222e-09 
1.055e+03 1.176e-12 1.24e-09 
1.056e+03 1.2e-12 1.267e-09 
1.057e+03 1.229e-12 1.299e-09 
1.058e+03 1.246e-12 1.318e-09 
1.059e+03 1.243e-12 1.316e-09 
1.06e+03 1.248e-12 1.324e-09 
1.061e+03 1.277e-12 1.355e-09 
1.062e+03 1.272e-12 1.351e-09 
1.063e+03 1.263e-12 1.344e-09 
1.064e+03 1.301e-12 1.384e-09 
1.066e+03 1.31e-12 1.396e-09 
1.067e+03 1.296e-12 1.382e-09 
1.068e+03 1.294e-12 1.382e-09 
1.069e+03 1.321e-12 1.412e-09 
1.07e+03 1.382e-12 1.479e-09 
1.071e+03 1.422e-12 1.523e-09 
1.072e+03 1.44e-12 1.543e-09 
1.073e+03 1.447e-12 1.553e-09 
1.074e+03 1.471e-12 1.581e-09 
1.075e+03 1.501e-12 1.614e-09 
1.076e+03 1.531e-12 1.648e-09 
1.077e+03 1.572e-12 1.694e-09 
1.078e+03 1.604e-12 1.729e-09 
1.08e+03 1.633e-12 1.763e-09 
1.081e+03 1.658e-12 1.792e-09 
1.082e+03 1.666e-12 1.802e-09 
1.083e+03 1.665e-12 1.803e-09 
1.084e+03 1.633e-12 1.77e-09 
1.085e+03 1.62e-12 1.758e-09 
